feature,risk_level,reason
nz_labor_unemployment_rate_age15to64_total,review,Slow-moving field should be checked for publication timing before use.
nz_labor_unemployment_rate_not_worked_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_youth_unemployment_ratio_age15_plus_male,review,Slow-moving field should be checked for publication timing before use.
nz_labor_youth_unemployment_ratio_age15to64_male,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_assets_overseas_issued_by_entities_located_abroad_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_assets_overseas_issued_by_entities_located_abroad_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_assets_overseas_issued_by_entities_located_abroad_percentage_of_assets,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_assets_overseas_issued_by_entities_located_abroad_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bills_and_bonds_issued_by_entities_located_abroad_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bills_and_bonds_issued_by_entities_located_abroad_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bills_and_bonds_issued_by_entities_located_abroad_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bills_and_bonds_issued_by_public_and_private_sector_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bills_and_bonds_issued_by_public_and_private_sector_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bills_and_bonds_issued_by_public_and_private_sector_percentage_of_assets,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bills_and_bonds_issued_by_public_and_private_sector_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bonds_issued_by_the_private_sector_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bonds_issued_by_the_private_sector_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bonds_issued_by_the_private_sector_percentage_of_bond_holdings,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_bonds_issued_by_the_private_sector_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_cash_and_deposits_in_entities_located_abroad_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_cash_and_deposits_in_entities_located_abroad_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_cash_and_deposits_in_entities_located_abroad_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_cash_and_deposits_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_cash_and_deposits_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_cash_and_deposits_percentage_of_assets,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_cash_and_deposits_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_equity_issued_by_entities_located_abroad_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_equity_issued_by_entities_located_abroad_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_equity_issued_by_entities_located_abroad_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_equity_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_equity_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_equity_percentage_of_assets,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_equity_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_investment_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_investment_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_investment_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_investment_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_listed_equity_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_listed_equity_percentage_of_equity_holdings,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_listed_equity_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_loans_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_loans_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_loans_percentage_of_assets,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_loans_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_mutual_funds_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_mutual_funds_percentage_change,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_mutual_funds_percentage_of_assets,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_mutual_funds_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_unlisted_equity_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_unlisted_equity_percentage_of_equity_holdings,review,Slow-moving field should be checked for publication timing before use.
nz_pensions_unlisted_equity_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_other_taxes_central_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_other_taxes_central_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_other_taxes_central_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_other_taxes_central_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_other_taxes_general_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_other_taxes_general_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_other_taxes_general_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_other_taxes_general_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_central_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_central_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_central_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_central_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_general_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_general_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_general_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_general_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_local_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_local_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_local_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_goods_and_services_local_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_income_profits_and_capital_gains_of_individuals_and_corporations_central_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_income_profits_and_capital_gains_of_individuals_and_corporations_central_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_income_profits_and_capital_gains_of_individuals_and_corporations_central_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_income_profits_and_capital_gains_of_individuals_and_corporations_central_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_income_profits_and_capital_gains_of_individuals_and_corporations_general_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_income_profits_and_capital_gains_of_individuals_and_corporations_general_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_income_profits_and_capital_gains_of_individuals_and_corporations_general_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_income_profits_and_capital_gains_of_individuals_and_corporations_general_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_central_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_central_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_central_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_central_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_general_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_general_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_general_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_general_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_local_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_local_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_local_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_taxes_on_property_local_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_central_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_central_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_central_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_central_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_general_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_general_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_general_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_general_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_local_government_national_currency,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_local_government_percentage_of_gdp,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_local_government_percentage_of_revenues_in_the_same_institutional_sector,review,Slow-moving field should be checked for publication timing before use.
nz_tax_total_tax_revenue_local_government_us_dollar,review,Slow-moving field should be checked for publication timing before use.
nzl_general_government_final_consumption_expenditure_millions_nzd,review,Slow-moving field should be checked for publication timing before use.
nzl_general_government_gross_fixed_capital_formation_millions_nzd,review,Slow-moving field should be checked for publication timing before use.
nzl_nfish_final_consumption_expenditure_millions_nzd,review,Slow-moving field should be checked for publication timing before use.
split,review,Slow-moving field should be checked for publication timing before use.
wiki_views,review,Slow-moving field should be checked for publication timing before use.
wiki_views_desktop,review,Slow-moving field should be checked for publication timing before use.
wiki_views_mobile,review,Slow-moving field should be checked for publication timing before use.
annual_amortization,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_amortization_of_intangibles_income_statement,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_average_dilution_earnings,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_basic_average_shares,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_basic_eps,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_credit_losses_provision,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_depreciation_amortization_depletion_income_statement,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_depreciation_and_amortization_in_income_statement,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_depreciation_income_statement,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_diluted_average_shares,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_diluted_eps,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_diluted_niavailto_com_stockholders,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_dividend_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_ebit,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_ebitda,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_fees_and_commissions,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_feesand_commission_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_feesand_commission_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_foreign_exchange_trading_gains,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_gain_on_sale_of_business,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_gain_on_sale_of_security,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_general_and_administrative_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_impairment_of_capital_assets,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_incomefrom_associatesand_other_participating_interests,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_insurance_and_claims,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_interest_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_interest_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_minority_interests,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_net_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_net_income_common_stockholders,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_net_income_continuous_operations,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_net_income_discontinuous_operations,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_net_income_from_continuing_and_discontinued_operation,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_net_income_from_continuing_operation_net_minority_interest,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_net_income_including_noncontrolling_interests,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_net_interest_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_net_occupancy_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_non_interest_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_non_interest_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_normalized_ebitda,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_normalized_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_occupancy_and_equipment,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_other_gand_a,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_other_non_interest_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_other_non_interest_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_other_non_operating_income_expenses,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_other_special_charges,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_pretax_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_professional_expense_and_contract_services_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_reconciled_depreciation,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_rent_and_landing_fees,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_rent_expense_supplemental,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_restructuring_and_mergern_acquisition,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_salaries_and_wages,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_selling_and_marketing_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_selling_general_and_administration,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_special_income_charges,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_tax_effect_of_unusual_items,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_tax_provision,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_tax_rate_for_calcs,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_total_premiums_earned,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_total_revenue,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_total_unusual_items,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_total_unusual_items_excluding_goodwill,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
annual_write_off,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_amortization,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_amortization_of_intangibles_income_statement,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_average_dilution_earnings,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_basic_average_shares,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_basic_eps,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_credit_losses_provision,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_depreciation_amortization_depletion_income_statement,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_depreciation_and_amortization_in_income_statement,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_depreciation_income_statement,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_diluted_average_shares,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_diluted_eps,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_diluted_niavailto_com_stockholders,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_dividend_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_ebit,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_ebitda,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_fees_and_commissions,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_feesand_commission_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_feesand_commission_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_foreign_exchange_trading_gains,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_gain_on_sale_of_security,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_general_and_administrative_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_impairment_of_capital_assets,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_incomefrom_associatesand_other_participating_interests,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_insurance_and_claims,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_interest_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_interest_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_minority_interests,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_net_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_net_income_common_stockholders,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_net_income_continuous_operations,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_net_income_discontinuous_operations,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_net_income_from_continuing_and_discontinued_operation,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_net_income_from_continuing_operation_net_minority_interest,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_net_income_including_noncontrolling_interests,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_net_interest_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_net_occupancy_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_non_interest_expense,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_non_interest_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_normalized_ebitda,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
trailing_normalized_income,warning,"Fundamental field uses period-end dates with unclear publication timing; this creates conservative delay bias rather than lookahead leakage, but is still unsafe by default for raw feature engineering."
